Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Sustainability_Rank,Global_EoLI_Rank
Switzerland,1,5,1,59,1
Norway,2,4,2,83,2
Singapore,4,2,12,8,3
Australia,7,10,5,32,4
Denmark,5,3,6,75,5
Hong Kong,9,17,4,6,6
Ireland,10,13,8,33,7
Japan,6,15,18,20,8
Netherlands,16,6,10,29,9
Iceland,3,9,3,85,10
New Zealand,13,8,14,63,11
South Korea,8,22,18,13,12
Finland,18,1,11,79,13
Sweden,14,7,7,81,14
Belgium,17,19,13,35,15
Israel,11,30,20,15,16
Canada,20,11,15,56,17
United States,15,20,19,26,18
Germany,27,12,9,44,19
France,12,21,26,39,20
United Kingdom,26,18,17,31,21
Austria,19,14,23,72,22
Taiwan,24,26,16,34,23
Malta,23,35,22,24,24
United Arab Emirates,30,29,24,5,25
Qatar,28,34,39,1,26
Slovenia,32,28,21,53,27
Italy,25,43,28,43,28
Spain,33,32,25,46,29
Estonia,38,16,29,73,30
Cyprus,31,36,27,40,31
Czech Republic,42,24,30,41,32
Bahrain,34,44,34,4,33
Portugal,39,27,36,66,34
Greece,35,46,31,52,35
Lithuania,50,23,33,67,36
Saudi Arabia,44,47,35,2,37
Chile,49,33,40,57,38
Latvia,41,31,37,77,39
Slovakia,46,37,41,42,40
China,21,50,63,37,41
Croatia,37,45,38,68,42
Poland,52,39,32,36,43
Kuwait,40,51,46,3,44
Hungary,51,42,42,38,45
Uruguay,47,25,50,82,46
Malaysia,53,38,54,18,47
Costa Rica,43,41,51,70,48
Panama,36,59,53,62,49
Thailand,45,55,57,45,50
India,29,57,75,69,51
Romania,62,48,48,55,52
Montenegro,60,52,45,74,53
Jordan,48,49,77,30,54
Bulgaria,57,54,58,51,55
Argentina,67,71,43,23,56
Lebanon,22,85,79,17,57
Georgia,85,40,55,58,58
Turkey,71,69,44,27,59
Serbia,64,60,56,60,60
Kazakhstan,78,64,49,11,60
South Africa,55,53,78,22,61
Russia,69,79,47,14,62
North Macedonia,70,56,62,48,63
Armenia,76,58,66,25,64
Mongolia,68,66,73,12,65
Ecuador,59,72,72,47,66
Indonesia,63,55,80,49,67
Peru,65,70,65,65,68
Moldova,72,67,64,50,69
Mexico,66,78,67,32,70
Iran,56,84,61,9,71
Vietnam,61,62,81,54,72
Azerbaijan,77,73,70,10,73
Belarus,73,82,52,19,74
Tunisia,79,61,74,28,75
Bosnia And Herzegovina,64,75,59,71,76
Ukraine,82,76,60,21,77
Colombia,75,63,69,64,78
Morocco,67,65,83,27,79
Philippines,58,69,82,61,80
Egypt,80,74,76,16,81
Algeria,81,81,71,6,82
Brazil,74,68,68,78,83
Nicaragua,54,83,84,80,84
Nepal,84,77,85,84,85
Pakistan,86,80,87,76,86
Syria,83,86,86,7,87
