Year,Country,Economic_Rank
1991,Japan,1
1991,Norway,2
1991,United Arab Emirates,3
1991,Switzerland,4
1991,Denmark,5
1991,Canada,6
1991,Finland,7
1991,United Kingdom,8
1991,Italy,9
1991,Ireland,10
1991,France,11
1991,Australia,12
1991,Germany,13
1991,United States,14
1991,Sweden,15
1991,New Zealand,16
1991,Spain,17
1991,Belgium,18
1991,Iceland,19
1991,Netherlands,20
1991,Malta,21
1991,Bahrain,22
1991,Croatia,23
1991,Israel,24
1991,Qatar,25
1991,Saudi Arabia,26
1991,Singapore,27
1991,Austria,28
1991,Slovenia,29
1991,Belarus,30
1991,Bulgaria,31
1991,Lithuania,32
1991,Malaysia,33
1991,Montenegro,34
1991,Greece,36
1991,Estonia,37
1991,Panama,38
1991,Kuwait,39
1991,Poland,40
1991,Argentina,41
1991,Latvia,42
1991,Serbia,43
1991,Romania,44
1991,Georgia,44
1991,Hungary,47
1991,South Africa,49
1991,Cyprus,50
1991,Ukraine,51
1991,North Macedonia,54
1991,Moldova,55
1991,Kazakhstan,56
1991,Thailand,57
1991,Brazil,58
1991,Mexico,59
1991,Armenia,60
1991,Algeria,61
1991,Portugal,62
1991,Chile,63
1991,Uruguay,64
1991,Costa Rica,66
1991,Mongolia,68
1991,Pakistan,69
1991,Lebanon,70
1991,Nepal,71
1991,Jordan,72
1991,Azerbaijan,73
1991,Tunisia,74
1991,China,75
1991,Nicaragua,76
1991,Morocco,77
1991,Philippines,79
1991,Peru,80
1991,Indonesia,81
1991,Ecuador,84
1991,India,85
1991,Colombia,86
