Year,Country,Ease_of_Living_Rank
2014,Switzerland,1
2014,Norway,2
2014,Australia,3
2014,Singapore,4
2014,Denmark,5
2014,New Zealand,6
2014,Finland,7
2014,Ireland,8
2014,Canada,9
2014,Netherlands,10
2014,United Kingdom,11
2014,Iceland,12
2014,Sweden,13
2014,Japan,14
2014,Belgium,15
2014,Germany,17
2014,Qatar,18
2014,United States,19
2014,France,20
2014,Austria,21
2014,Israel,23
2014,United Arab Emirates,24
2014,Cyprus,25
2014,Malta,27
2014,Italy,27
2014,Estonia,28
2014,Slovenia,29
2014,Spain,30
2014,Kuwait,31
2014,Bahrain,32
2014,Greece,33
2014,Saudi Arabia,35
2014,Portugal,36
2014,Chile,37
2014,Poland,38
2014,Lithuania,40
2014,Uruguay,41
2014,Latvia,42
2014,Croatia,43
2014,Hungary,44
2014,Costa Rica,45
2014,Malaysia,46
2014,Argentina,47
2014,Kazakhstan,48
2014,Panama,50
2014,Montenegro,51
2014,China,52
2014,Bulgaria,54
2014,Romania,55
2014,Jordan,56
2014,Mongolia,57
2014,Lebanon,58
2014,Serbia,59
2014,Georgia,60
2014,South Africa,61
2014,Belarus,62
2014,Azerbaijan,63
2014,Brazil,64
2014,Thailand,65
2014,Mexico,66
2014,North Macedonia,69
2014,Colombia,70
2014,Peru,71
2014,Armenia,72
2014,Ukraine,73
2014,Tunisia,74
2014,Ecuador,75
2014,Moldova,76
2014,India,77
2014,Nicaragua,78
2014,Algeria,78
2014,Morocco,79
2014,Philippines,80
2014,Indonesia,81
2014,Nepal,85
2014,Pakistan,86
