Year,Country,Weight_Scheme,Sensitivity_EoLI_Score,Sensitivity_EoLI_Rank,Baseline_Rank,Rank_Change_vs_Baseline
2021,Australia,Baseline_25_25_35_15,1.7424999999999997,4,4,0
2021,Japan,Baseline_25_25_35_15,1.6794499999999999,7,7,0
2021,Canada,Baseline_25_25_35_15,1.47675,15,15,0
2021,United States,Baseline_25_25_35_15,1.46595,16,16,0
2021,Germany,Baseline_25_25_35_15,1.4497999999999998,17,17,0
2021,United Kingdom,Baseline_25_25_35_15,1.4082,19,19,0
2021,China,Baseline_25_25_35_15,0.7216499999999999,36,36,0
2021,Malaysia,Baseline_25_25_35_15,0.55685,42,42,0
2021,India,Baseline_25_25_35_15,0.45294999999999996,46,46,0
2021,Australia,Scenario_1_20_30_30_20,1.6428999999999998,4,4,0
2021,Japan,Scenario_1_20_30_30_20,1.5800999999999998,7,7,0
2021,Canada,Scenario_1_20_30_30_20,1.4006,12,15,-3
2021,Germany,Scenario_1_20_30_30_20,1.3873999999999997,14,17,-3
2021,United States,Scenario_1_20_30_30_20,1.3822999999999999,15,16,-1
2021,United Kingdom,Scenario_1_20_30_30_20,1.3493,18,19,-1
2021,China,Scenario_1_20_30_30_20,0.6314,37,36,1
2021,Malaysia,Scenario_1_20_30_30_20,0.5731,41,42,-1
2021,India,Scenario_1_20_30_30_20,0.3574,47,46,1
2021,Australia,Scenario_2_15_30_25_30,1.4804,3,4,-1
2021,Japan,Scenario_2_15_30_25_30,1.4323499999999998,5,7,-2
2021,Germany,Scenario_2_15_30_25_30,1.2593500000000002,11,17,-6
2021,United States,Scenario_2_15_30_25_30,1.25905,12,16,-4
2021,Canada,Scenario_2_15_30_25_30,1.2482,13,15,-2
2021,United Kingdom,Scenario_2_15_30_25_30,1.23975,15,19,-4
2021,Malaysia,Scenario_2_15_30_25_30,0.5919,37,42,-5
2021,China,Scenario_2_15_30_25_30,0.5580499999999999,40,36,4
2021,India,Scenario_2_15_30_25_30,0.26039999999999996,52,46,6
2021,Australia,Scenario_3_25_25_25_25,1.5839999999999999,4,4,0
2021,Japan,Scenario_3_25_25_25_25,1.5477500000000002,5,7,-2
2021,United States,Scenario_3_25_25_25_25,1.33225,12,16,-4
2021,Canada,Scenario_3_25_25_25_25,1.29725,14,15,-1
2021,Germany,Scenario_3_25_25_25_25,1.2825,16,17,-1
2021,United Kingdom,Scenario_3_25_25_25_25,1.264,18,19,-1
2021,China,Scenario_3_25_25_25_25,0.6672499999999999,33,36,-3
2021,Malaysia,Scenario_3_25_25_25_25,0.5042500000000001,40,42,-2
2021,India,Scenario_3_25_25_25_25,0.37124999999999997,45,46,-1
2021,Japan,Scenario_4_30_15_20_35,1.4669999999999999,3,7,-4
2021,Australia,Scenario_4_30_15_20_35,1.4622,4,4,0
2021,United States,Scenario_4_30_15_20_35,1.2426,10,16,-6
2021,United Kingdom,Scenario_4_30_15_20_35,1.12805,14,19,-5
2021,Canada,Scenario_4_30_15_20_35,1.1176500000000003,15,15,0
2021,Germany,Scenario_4_30_15_20_35,1.1119499999999998,16,17,-1
2021,China,Scenario_4_30_15_20_35,0.72,29,36,-7
2021,Malaysia,Scenario_4_30_15_20_35,0.43795,38,42,-4
2021,India,Scenario_4_30_15_20_35,0.38365,42,46,-4
